 Theta Psi Nu P Q
  0.37699112E+01  0.48554863E+00  0.13678059E-08  0.40000000E+01  0.25000000E+02
  0.58307960E+01  0.40380963E+00  0.27099402E-08  0.40000000E+01  0.25000000E+02
  0.55292031E+00  0.41740091E+00  0.84413010E-10  0.40000000E+01  0.25000000E+02
  0.33677873E+01  0.47378426E+00 -0.27697556E-08  0.40000000E+01  0.25000000E+02
  0.29656635E+01  0.47267912E+00  0.24082534E-08  0.40000000E+01  0.25000000E+02
  0.60569906E+01  0.38379853E+00 -0.22266314E-08  0.40000000E+01  0.25000000E+02
  0.17592919E+00  0.38160618E+00 -0.11934191E-08  0.40000000E+01  0.25000000E+02
  0.37950439E+01  0.48830981E+00  0.23274467E-08  0.40000000E+01  0.25000000E+02
  0.58559287E+01  0.40096092E+00  0.27025940E-08  0.40000000E+01  0.25000000E+02
  0.57805305E+00  0.42106007E+00  0.13248043E-08  0.40000000E+01  0.25000000E+02
  0.27394688E+01  0.47291140E+00 -0.10255866E-08  0.40000000E+01  0.25000000E+02
  0.29907962E+01  0.47288379E+00  0.13154942E-08  0.40000000E+01  0.25000000E+02
  0.33929201E+01  0.47368780E+00 -0.22470723E-08  0.40000000E+01  0.25000000E+02
  0.60821234E+01  0.38236844E+00 -0.13298416E-08  0.40000000E+01  0.25000000E+02
  0.98017691E+00  0.85447740E+00  0.49672052E-05  0.40000000E+01  0.25000000E+02
  0.48254863E+01  0.11475018E+01 -0.17811880E-08  0.40000000E+01  0.25000000E+02
  0.16587609E+01  0.11995932E+01 -0.11020834E-08  0.40000000E+01  0.25000000E+02
  0.20106193E+00  0.38293056E+00 -0.38080107E-10  0.40000000E+01  0.25000000E+02
  0.38201767E+01  0.49146884E+00  0.27657471E-08  0.40000000E+01  0.25000000E+02
  0.60318579E+00  0.42492775E+00  0.22826381E-08  0.40000000E+01  0.25000000E+02
  0.30159289E+01  0.47309274E+00 -0.17856823E-09  0.40000000E+01  0.25000000E+02
  0.58810614E+01  0.39827064E+00  0.21469615E-08  0.40000000E+01  0.25000000E+02
  0.27646015E+01  0.47252701E+00 -0.21748212E-08  0.40000000E+01  0.25000000E+02
  0.34180528E+01  0.47360880E+00 -0.10640944E-08  0.40000000E+01  0.25000000E+02
  0.61072561E+01  0.38110436E+00 -0.19734344E-09  0.40000000E+01  0.25000000E+02
  0.48506191E+01  0.10785109E+01 -0.25855249E-08  0.40000000E+01  0.25000000E+02
  0.22619467E+00  0.38441590E+00  0.11321333E-08  0.40000000E+01  0.25000000E+02
  0.16838937E+01  0.11373044E+01 -0.27610399E-08  0.40000000E+01  0.25000000E+02
  0.38453094E+01  0.49505530E+00  0.25946655E-08  0.40000000E+01  0.25000000E+02
  0.30410617E+01  0.47329787E+00 -0.16224681E-08  0.40000000E+01  0.25000000E+02
  0.62831853E+00  0.42902430E+00  0.27529489E-08  0.40000000E+01  0.25000000E+02
  0.34431855E+01  0.47356222E+00  0.42163980E-09  0.40000000E+01  0.25000000E+02
  0.61323889E+01  0.38000866E+00  0.96486766E-09  0.40000000E+01  0.25000000E+02
  0.27897343E+01  0.47227217E+00 -0.27495295E-08  0.40000000E+01  0.25000000E+02
  0.25132741E+00  0.38605885E+00  0.20995505E-08  0.40000000E+01  0.25000000E+02
  0.17090264E+01  0.10783835E+01 -0.91561981E-09  0.40000000E+01  0.25000000E+02
  0.48757518E+01  0.10151662E+01 -0.27980022E-09  0.40000000E+01  0.25000000E+02
  0.30661944E+01  0.47349205E+00 -0.25678471E-08  0.40000000E+01  0.25000000E+02
  0.38704421E+01  0.49910004E+00  0.18661683E-08  0.40000000E+01  0.25000000E+02
  0.65345127E+00  0.43337311E+00  0.26366778E-08  0.40000000E+01  0.25000000E+02
  0.34683183E+01  0.47356500E+00  0.17763234E-08  0.40000000E+01  0.25000000E+02
  0.61575216E+01  0.37908352E+00  0.19509290E-08  0.40000000E+01  0.25000000E+02
  0.27646015E+00  0.38785601E+00  0.26771651E-08  0.40000000E+01  0.25000000E+02
  0.17341591E+01  0.10238490E+01  0.17420885E-08  0.40000000E+01  0.25000000E+02
  0.49008845E+01  0.95795654E+00  0.21286349E-08  0.40000000E+01  0.25000000E+02
  0.30913272E+01  0.47366907E+00 -0.27334132E-08  0.40000000E+01  0.25000000E+02
  0.67858401E+00  0.43800069E+00  0.19612978E-08  0.40000000E+01  0.25000000E+02
  0.38955749E+01  0.50363548E+00  0.74171192E-09  0.40000000E+01  0.25000000E+02
  0.61826543E+01  0.37833088E+00  0.25914855E-08  0.40000000E+01  0.25000000E+02
  0.34934510E+01  0.47363596E+00  0.26192296E-08  0.40000000E+01  0.25000000E+02
  0.30159289E+00  0.38980414E+00  0.27459304E-08  0.40000000E+01  0.25000000E+02
  0.31164599E+01  0.47382363E+00 -0.20499410E-08  0.40000000E+01  0.25000000E+02
  0.17592919E+01  0.97390645E+00  0.27761231E-08  0.40000000E+01  0.25000000E+02
  0.49260173E+01  0.90661379E+00  0.27340572E-08  0.40000000E+01  0.25000000E+02
  0.62077871E+01  0.37775235E+00  0.27765921E-08  0.40000000E+01  0.25000000E+02
  0.70371675E+00  0.44293661E+00  0.87315337E-09  0.40000000E+01  0.25000000E+02
  0.35185838E+01  0.47379560E+00  0.27282594E-08  0.40000000E+01  0.25000000E+02
  0.39207076E+01  0.50869594E+00 -0.53580894E-09  0.40000000E+01  0.25000000E+02
  0.32672564E+00  0.39190026E+00  0.22816135E-08  0.40000000E+01  0.25000000E+02
  0.31415927E+01  0.47395145E+00 -0.73067724E-09  0.40000000E+01  0.25000000E+02
  0.17844246E+01  0.92839238E+00  0.17759918E-08  0.40000000E+01  0.25000000E+02
  0.49511500E+01  0.86060175E+00  0.15376862E-08  0.40000000E+01  0.25000000E+02
  0.62329198E+01  0.37734918E+00  0.24788492E-08  0.40000000E+01  0.25000000E+02
  0.72884950E+00  0.44821351E+00 -0.39578072E-09  0.40000000E+01  0.25000000E+02
  0.35437165E+01  0.47406594E+00  0.20928056E-08  0.40000000E+01  0.25000000E+02
  0.39458404E+01  0.51431802E+00 -0.16947031E-08  0.40000000E+01  0.25000000E+02
  0.35185838E+00  0.39414193E+00  0.13647696E-08  0.40000000E+01  0.25000000E+02
  0.31667254E+01  0.47404927E+00  0.81657094E-09  0.40000000E+01  0.25000000E+02
  0.18095574E+01  0.88699160E+00 -0.25825245E-09  0.40000000E+01  0.25000000E+02
  0.62580526E+01  0.37712220E+00  0.17522894E-08  0.40000000E+01  0.25000000E+02
  0.49762828E+01  0.81932736E+00 -0.42864042E-09  0.40000000E+01  0.25000000E+02
  0.75398224E+00  0.45386715E+00 -0.15784306E-08  0.40000000E+01  0.25000000E+02
  0.35688493E+01  0.47447018E+00  0.90363688E-09  0.40000000E+01  0.25000000E+02
