 Theta Psi Nu P Q
  0.33803537E+01  0.27239279E+00  0.43536938E-09  0.30000000E+01  0.19000000E+02
  0.22493803E+01  0.34888488E+00 -0.90788800E-09  0.30000000E+01  0.19000000E+02
  0.53658403E+01  0.32148279E+00  0.10351597E-09  0.30000000E+01  0.19000000E+02
  0.50768137E+01  0.44911543E+00 -0.94388257E-09  0.30000000E+01  0.19000000E+02
  0.47123890E+01  0.71449094E+00 -0.89263811E-09  0.30000000E+01  0.19000000E+02
  0.15833627E+01  0.71514840E+00 -0.34241996E-09  0.30000000E+01  0.19000000E+02
  0.19603538E+01  0.46333787E+00 -0.89803970E-09  0.30000000E+01  0.19000000E+02
  0.40966368E+01  0.36634064E+00  0.94395994E-09  0.30000000E+01  0.19000000E+02
  0.33929201E+01  0.27277144E+00  0.24957292E-09  0.30000000E+01  0.19000000E+02
  0.15959291E+01  0.71328984E+00  0.21447515E-09  0.30000000E+01  0.19000000E+02
  0.22619467E+01  0.34562615E+00 -0.98658914E-09  0.30000000E+01  0.19000000E+02
  0.50893801E+01  0.44129802E+00 -0.10162955E-08  0.30000000E+01  0.19000000E+02
  0.53784066E+01  0.31782883E+00 -0.88974244E-10  0.30000000E+01  0.19000000E+02
  0.19729202E+01  0.45637340E+00 -0.73577573E-09  0.30000000E+01  0.19000000E+02
  0.34054864E+01  0.27317365E+00  0.54777356E-10  0.30000000E+01  0.19000000E+02
  0.41092032E+01  0.37032129E+00  0.10083938E-08  0.30000000E+01  0.19000000E+02
  0.22745131E+01  0.34247571E+00 -0.10241453E-08  0.30000000E+01  0.19000000E+02
  0.51019465E+01  0.43373635E+00 -0.10213682E-08  0.30000000E+01  0.19000000E+02
  0.34180528E+01  0.27360012E+00 -0.14183637E-09  0.30000000E+01  0.19000000E+02
  0.19854866E+01  0.44962700E+00 -0.52601325E-09  0.30000000E+01  0.19000000E+02
  0.22870795E+01  0.33943022E+00 -0.10197819E-08  0.30000000E+01  0.19000000E+02
  0.41217696E+01  0.37443890E+00  0.10271756E-08  0.30000000E+01  0.19000000E+02
  0.34306192E+01  0.27405161E+00 -0.33304975E-09  0.30000000E+01  0.19000000E+02
  0.30159289E+00  0.22991732E+00 -0.48286140E-09  0.30000000E+01  0.19000000E+02
  0.22996458E+01  0.33648647E+00 -0.97439079E-09  0.30000000E+01  0.19000000E+02
